               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.028353,           0.0073922,                   0,             0.86371,             0.82569,             0.87355,             0.48341,            0.036365,            0.006714,                   0,            0.005116,            0.005116,            0.005116
                  39,            0.028326,           0.0074189,                   0,             0.91009,             0.80734,             0.88094,             0.49936,            0.034874,           0.0065329,                   0,            0.004984,            0.004984,            0.004984
                  40,            0.028377,           0.0077162,                   0,             0.89177,             0.83156,             0.87749,             0.52793,            0.033628,             0.00624,                   0,            0.004852,            0.004852,            0.004852
                  41,            0.028793,           0.0076151,                   0,             0.91811,             0.82288,             0.89283,             0.49721,            0.034665,           0.0063668,                   0,             0.00472,             0.00472,             0.00472
                  42,            0.027709,           0.0075428,                   0,             0.88839,             0.84404,             0.87355,             0.49873,            0.033385,           0.0064462,                   0,            0.004588,            0.004588,            0.004588
                  43,            0.026132,           0.0071938,                   0,             0.92632,             0.80733,             0.86697,             0.50384,            0.034121,           0.0065149,                   0,            0.004456,            0.004456,            0.004456
                  44,            0.027035,           0.0068564,                   0,             0.88345,             0.80734,             0.85172,             0.50683,            0.032816,           0.0065287,                   0,            0.004324,            0.004324,            0.004324
                  45,            0.026919,           0.0071584,                   0,             0.87747,             0.79817,             0.82956,             0.48981,            0.033404,           0.0066417,                   0,            0.004192,            0.004192,            0.004192
                  46,             0.02595,           0.0070269,                   0,             0.87204,              0.8128,             0.84335,             0.49873,            0.034902,           0.0066021,                   0,             0.00406,             0.00406,             0.00406
                  47,            0.026052,           0.0071179,                   0,             0.88873,             0.77064,             0.83361,             0.51485,            0.033523,           0.0067613,                   0,            0.003928,            0.003928,            0.003928
                  48,            0.025419,           0.0072024,                   0,             0.89844,             0.77982,             0.84114,              0.5162,            0.032438,           0.0068838,                   0,            0.003796,            0.003796,            0.003796
                  49,            0.025773,           0.0064733,                   0,             0.84513,             0.85111,               0.853,             0.51774,            0.033419,           0.0068595,                   0,            0.003664,            0.003664,            0.003664
                  50,            0.025502,           0.0072661,                   0,             0.87578,             0.84091,             0.86213,             0.50032,            0.033947,           0.0068191,                   0,            0.003532,            0.003532,            0.003532
                  51,            0.024468,           0.0065209,                   0,             0.87542,             0.83486,             0.84628,             0.50351,            0.033388,           0.0067856,                   0,              0.0034,              0.0034,              0.0034
                  52,            0.024161,           0.0071132,                   0,             0.89098,             0.82477,             0.87126,             0.51812,            0.032848,           0.0066672,                   0,            0.003268,            0.003268,            0.003268
                  53,            0.024059,           0.0067128,                   0,             0.88193,             0.82233,             0.87378,             0.52401,            0.032563,           0.0066344,                   0,            0.003136,            0.003136,            0.003136
                  54,            0.023896,           0.0069411,                   0,             0.86446,             0.83486,             0.85776,             0.51569,            0.032461,           0.0066485,                   0,            0.003004,            0.003004,            0.003004
                  55,            0.023632,           0.0068051,                   0,             0.89253,             0.83816,               0.876,             0.50937,            0.033408,           0.0066717,                   0,            0.002872,            0.002872,            0.002872
                  56,             0.02362,           0.0063937,                   0,             0.84662,             0.81023,              0.8358,             0.51052,            0.033133,           0.0067458,                   0,             0.00274,             0.00274,             0.00274
                  57,            0.023762,           0.0064367,                   0,             0.85055,             0.83544,             0.85353,             0.50585,            0.033455,           0.0067478,                   0,            0.002608,            0.002608,            0.002608
                  58,            0.022945,           0.0068141,                   0,             0.88153,             0.81918,             0.84467,             0.50762,            0.032694,           0.0066124,                   0,            0.002476,            0.002476,            0.002476
                  59,             0.02303,           0.0068847,                   0,             0.89325,             0.80734,             0.83977,             0.50378,             0.03351,           0.0066625,                   0,            0.002344,            0.002344,            0.002344
                  60,            0.022706,           0.0066258,                   0,             0.91859,             0.80734,             0.85978,             0.51986,            0.032675,            0.006735,                   0,            0.002212,            0.002212,            0.002212
                  61,            0.022188,           0.0068748,                   0,             0.88447,             0.84282,             0.85813,             0.52051,            0.032164,           0.0068201,                   0,             0.00208,             0.00208,             0.00208
                  62,            0.022181,           0.0067333,                   0,             0.89308,             0.84295,             0.86154,             0.51426,             0.03266,           0.0067938,                   0,            0.001948,            0.001948,            0.001948
                  63,            0.022114,           0.0065116,                   0,             0.87533,             0.83743,             0.85249,             0.52547,            0.031972,           0.0068406,                   0,            0.001816,            0.001816,            0.001816
                  64,            0.021607,           0.0064896,                   0,             0.87327,             0.82188,             0.82482,             0.50688,            0.032231,           0.0069435,                   0,            0.001684,            0.001684,            0.001684
                  65,             0.02141,           0.0067656,                   0,             0.86523,             0.82463,             0.81864,             0.50523,            0.032103,            0.007041,                   0,            0.001552,            0.001552,            0.001552
                  66,            0.021499,           0.0065658,                   0,             0.88391,             0.83823,             0.83656,             0.49985,            0.032451,           0.0069772,                   0,             0.00142,             0.00142,             0.00142
                  67,            0.020844,           0.0063673,                   0,             0.85858,             0.83551,             0.83459,             0.49774,            0.032599,            0.006973,                   0,            0.001288,            0.001288,            0.001288
                  68,            0.020843,           0.0063598,                   0,             0.87316,             0.83486,             0.83226,             0.50441,            0.032262,           0.0069781,                   0,            0.001156,            0.001156,            0.001156
                  69,            0.020505,           0.0061626,                   0,             0.87596,             0.84404,               0.832,             0.49481,            0.032875,            0.006898,                   0,            0.001024,            0.001024,            0.001024
                  70,            0.021125,           0.0066555,                   0,             0.86757,             0.84146,             0.83334,             0.50233,            0.032184,           0.0069291,                   0,            0.000892,            0.000892,            0.000892
                  71,            0.019923,           0.0057689,                   0,             0.86669,             0.83501,             0.83567,             0.50746,            0.032327,           0.0069568,                   0,             0.00076,             0.00076,             0.00076
                  72,            0.020339,           0.0062747,                   0,             0.85445,             0.83486,             0.82724,               0.512,            0.032175,           0.0068994,                   0,            0.000628,            0.000628,            0.000628
                  73,             0.01972,           0.0060924,                   0,              0.8744,             0.83486,              0.8367,             0.50798,            0.032277,           0.0069462,                   0,            0.000496,            0.000496,            0.000496
                  74,            0.019618,           0.0058993,                   0,             0.88816,             0.81651,             0.83721,             0.50503,            0.032413,           0.0069679,                   0,            0.000364,            0.000364,            0.000364
